Typology,Code Disease,Preferred term,Prevalence Type,Prevalence Value
Clinical subtype,268994,Isolated focal cortical dysplasia type II,Point prevalence,N/A
Malformation syndrome,3429,Verloove Vanhorick-Brubakk syndrome,Cases/families,N/A
Malformation syndrome,3429,Verloove Vanhorick-Brubakk syndrome,Point prevalence,N/A
Histopathological subtype,269001,Isolated focal cortical dysplasia type IIa,Point prevalence,N/A
Malformation syndrome,2460,Van den Ende-Gupta syndrome,Cases/families,N/A
Malformation syndrome,2460,Van den Ende-Gupta syndrome,Point prevalence,N/A
Morphological anomaly,268940,Bilateral polymicrogyria,Point prevalence,N/A
Morphological anomaly,268943,Unilateral polymicrogyria,Point prevalence,N/A
Malformation syndrome,3416,Hyperostosis corticalis generalisata,Cases/families,N/A
Malformation syndrome,3416,Hyperostosis corticalis generalisata,Point prevalence,N/A
Category,268926,Midline cerebral malformation,Point prevalence,N/A
Morphological anomaly,268936,Isolated arhinencephaly,Point prevalence,N/A
Clinical subtype,268961,Isolated focal cortical dysplasia type I,Point prevalence,N/A
Clinical subtype,268947,Unilateral focal polymicrogyria,Point prevalence,N/A
Malformation syndrome,3417,Van den Bosch syndrome,Cases/families,N/A
Malformation syndrome,3417,Van den Bosch syndrome,Point prevalence,N/A
Clinical group,268950,Cerebral cortical dysplasia,Point prevalence,N/A
Morphological anomaly,269229,Pontine tegmental cap dysplasia,Cases/families,N/A
Morphological anomaly,269229,Pontine tegmental cap dysplasia,Point prevalence,N/A
Disease,3453,Autoimmune polyendocrinopathy type 1,Point prevalence,N/A
Disease,3453,Autoimmune polyendocrinopathy type 1,Point prevalence,N/A
Disease,3453,Autoimmune polyendocrinopathy type 1,Point prevalence,N/A
Category,269224,Global cerebellar malformation,Point prevalence,N/A
Malformation syndrome,3448,Weaver-Williams syndrome,Cases/families,N/A
Malformation syndrome,3448,Weaver-Williams syndrome,Point prevalence,N/A
Morphological anomaly,269221,Isolated bilateral hemispheric cerebellar hypoplasia,Point prevalence,N/A
Malformation syndrome,3449,Weill-Marchesani syndrome,Point prevalence,N/A
Morphological anomaly,269218,Isolated unilateral hemispheric cerebellar hypoplasia,Point prevalence,N/A
Malformation syndrome,3456,Wildervanck syndrome,Point prevalence,N/A
Clinical subtype,269510,Congenital non-communicating hydrocephalus,Point prevalence,N/A
Malformation syndrome,3454,Wieacker-Wolff syndrome,Cases/families,N/A
Malformation syndrome,3454,Wieacker-Wolff syndrome,Point prevalence,N/A
Malformation syndrome,3455,Wiedemann-Rautenstrauch syndrome,Cases/families,N/A
Malformation syndrome,3455,Wiedemann-Rautenstrauch syndrome,Point prevalence,N/A
Clinical subtype,269505,Congenital communicating hydrocephalus,Point prevalence,N/A
Morphological anomaly,269203,Isolated cerebellar vermis agenesis,Point prevalence,N/A
Morphological anomaly,269197,Glioependymal/ependymal cyst,Point prevalence,N/A
Malformation syndrome,3434,MMEP syndrome,Point prevalence,N/A
Clinical subtype,269215,Isolated Dandy-Walker malformation without hydrocephalus,Point prevalence,N/A
Clinical subtype,269212,Isolated Dandy-Walker malformation with hydrocephalus,Point prevalence,N/A
Clinical subtype,269209,Isolated partial cerebellar vermis agenesis,Point prevalence,N/A
Clinical subtype,269206,Isolated total cerebellar vermis agenesis,Point prevalence,N/A
Disease,1856,Spondyloperipheral dysplasia-short ulna syndrome,Point prevalence,N/A
Disease,1856,Spondyloperipheral dysplasia-short ulna syndrome,Cases/families,N/A
Clinical subtype,280302,Autoimmune pancreatitis type 1,Point prevalence,N/A
Disease,280333,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,Cases/families,N/A
Disease,280333,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,Point prevalence,N/A
Malformation syndrome,280325,Distal deletion 12p syndrome,Cases/families,N/A
Malformation syndrome,280325,Distal deletion 12p syndrome,Point prevalence,N/A
Clinical subtype,280293,Pelizaeus-Merzbacher-like disease due to AIMP1 mutation,Point prevalence,N/A
Clinical subtype,280288,Pelizaeus-Merzbacher-like disease due to HSPD1 mutation,Point prevalence,N/A
Malformation syndrome,3194,Corneodermatoosseous syndrome,Cases/families,N/A
Malformation syndrome,3194,Corneodermatoosseous syndrome,Point prevalence,N/A
Disease,280365,Autosomal semi-dominant severe lipodystrophic laminopathy,Cases/families,N/A
Disease,280365,Autosomal semi-dominant severe lipodystrophic laminopathy,Point prevalence,N/A
Disease,280379,Erythropoietic uroporphyria associated with myeloid malignancy,Point prevalence,N/A
Disease,3197,Hereditary hyperekplexia,Cases/families,N/A
Disease,3197,Hereditary hyperekplexia,Point prevalence,N/A
Malformation syndrome,3199,Stimmler syndrome,Cases/families,N/A
Malformation syndrome,3199,Stimmler syndrome,Point prevalence,N/A
Malformation syndrome,3184,Steatocystoma multiplex-natal teeth syndrome,Point prevalence,N/A
Malformation syndrome,3186,Holoprosencephaly-radial heart renal anomalies syndrome,Cases/families,N/A
Malformation syndrome,3186,Holoprosencephaly-radial heart renal anomalies syndrome,Point prevalence,N/A
Malformation syndrome,3191,Subaortic stenosis-short stature syndrome,Cases/families,N/A
Malformation syndrome,3191,Subaortic stenosis-short stature syndrome,Point prevalence,N/A
Morphological anomaly,3193,Supravalvular aortic stenosis,Prevalence at birth,N/A
Morphological anomaly,3193,Supravalvular aortic stenosis,Point prevalence,N/A
Disease,280356,PLIN1-related familial partial lipodystrophy,Cases/families,N/A
Disease,280356,PLIN1-related familial partial lipodystrophy,Point prevalence,N/A
Malformation syndrome,3214,"Deaf blind hypopigmentation syndrome, Yemenite type",Cases/families,N/A
Malformation syndrome,3214,"Deaf blind hypopigmentation syndrome, Yemenite type",Point prevalence,N/A
Malformation syndrome,280403,Familial omphalocele syndrome with facial dysmorphism,Cases/families,N/A
Malformation syndrome,280403,Familial omphalocele syndrome with facial dysmorphism,Point prevalence,N/A
Disease,280406,Familial steroid-resistant nephrotic syndrome with sensorineural deafness,Cases/families,N/A
Disease,280406,Familial steroid-resistant nephrotic syndrome with sensorineural deafness,Point prevalence,N/A
Malformation syndrome,3201,Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome,Point prevalence,N/A
Disease,280384,Recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome,Cases/families,N/A
Disease,280384,Recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome,Point prevalence,N/A
Disease,280397,Familial Alzheimer-like prion disease,Cases/families,N/A
Disease,280397,Familial Alzheimer-like prion disease,Point prevalence,N/A
Malformation syndrome,280576,Nestor-Guillermo progeria syndrome,Cases/families,N/A
Malformation syndrome,280576,Nestor-Guillermo progeria syndrome,Point prevalence,N/A
Malformation syndrome,3220,Deafness-enamel hypoplasia-nail defects syndrome,Cases/families,N/A
Malformation syndrome,3220,Deafness-enamel hypoplasia-nail defects syndrome,Point prevalence,N/A
Malformation syndrome,3219,Fountain syndrome,Cases/families,N/A
Malformation syndrome,3219,Fountain syndrome,Point prevalence,N/A
Disease,3222,Phosphoribosylpyrophosphate synthetase superactivity,Cases/families,N/A
Disease,3222,Phosphoribosylpyrophosphate synthetase superactivity,Point prevalence,N/A
Malformation syndrome,280586,"Chondrodysplasia with joint dislocations, gPAPP type",Cases/families,N/A
Malformation syndrome,280586,"Chondrodysplasia with joint dislocations, gPAPP type",Point prevalence,N/A
Disease,3217,Deafness-small bowel diverticulosis-neuropathy syndrome,Cases/families,N/A
Disease,3217,Deafness-small bowel diverticulosis-neuropathy syndrome,Point prevalence,N/A
Disease,280553,Fatal infantile hypertonic myofibrillar myopathy,Cases/families,N/A
Disease,280553,Fatal infantile hypertonic myofibrillar myopathy,Point prevalence,N/A
Malformation syndrome,280558,Warsaw breakage syndrome,Cases/families,N/A
Malformation syndrome,280558,Warsaw breakage syndrome,Point prevalence,N/A
Malformation syndrome,3216,Conductive deafness-malformed external ear syndrome,Cases/families,N/A
Malformation syndrome,3216,Conductive deafness-malformed external ear syndrome,Point prevalence,N/A
Malformation syndrome,3218,Deafness-epiphyseal dysplasia-short stature syndrome,Cases/families,N/A
Malformation syndrome,3218,Deafness-epiphyseal dysplasia-short stature syndrome,Point prevalence,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Prevalence at birth,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Point prevalence,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Point prevalence,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Point prevalence,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Point prevalence,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Point prevalence,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Point prevalence,N/A
Malformation syndrome,647,Nijmegen breakage syndrome,Point prevalence,N/A
Disease,280062,Calciphylaxis,Point prevalence,N/A
Clinical syndrome,279947,Postorgasmic illness syndrome,Point prevalence,N/A
Clinical syndrome,279947,Postorgasmic illness syndrome,Cases/families,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Point prevalence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,1267,Botulism,Annual incidence,N/A
Disease,2897,Pityriasis rubra pilaris,Cases/families,N/A
Disease,2897,Pityriasis rubra pilaris,Point prevalence,N/A
Malformation syndrome,3163,SHORT syndrome,Cases/families,N/A
Malformation syndrome,3163,SHORT syndrome,Point prevalence,N/A
Malformation syndrome,1479,Atrial septal defect-atrioventricular conduction defects syndrome,Cases/families,N/A
Malformation syndrome,1479,Atrial septal defect-atrioventricular conduction defects syndrome,Point prevalence,N/A
Disease,280071,ALG11-CDG,Cases/families,N/A
Disease,280071,ALG11-CDG,Point prevalence,N/A
Malformation syndrome,3157,Septo-optic dysplasia spectrum,Prevalence at birth,N/A
Malformation syndrome,3157,Septo-optic dysplasia spectrum,Point prevalence,N/A
Disease,2070,Eosinophilic gastroenteritis,Cases/families,N/A
Disease,2070,Eosinophilic gastroenteritis,Point prevalence,N/A
Disease,2070,Eosinophilic gastroenteritis,Point prevalence,N/A
Disease,183707,Infantile LAD-like disease due to RAC2 deficiency,Cases/families,N/A
Disease,183707,Infantile LAD-like disease due to RAC2 deficiency,Point prevalence,N/A
Disease,2314,Autosomal dominant hyper-IgE syndrome due to STAT3 deficiency,Annual incidence,N/A
Disease,2314,Autosomal dominant hyper-IgE syndrome due to STAT3 deficiency,Point prevalence,N/A
Malformation syndrome,3177,Spinocerebellar degeneration-corneal dystrophy syndrome,Cases/families,N/A
Malformation syndrome,3177,Spinocerebellar degeneration-corneal dystrophy syndrome,Point prevalence,N/A
Clinical subtype,280205,Laryngotracheoesophageal cleft type 0,Point prevalence,N/A
Disease,3175,X-linked spasticity-intellectual disability-epilepsy syndrome,Cases/families,N/A
Disease,3175,X-linked spasticity-intellectual disability-epilepsy syndrome,Point prevalence,N/A
Clinical subtype,280195,Septopreoptic holoprosencephaly,Point prevalence,N/A
Malformation syndrome,3172,Eyebrow duplication-syndactyly syndrome,Cases/families,N/A
Malformation syndrome,3172,Eyebrow duplication-syndactyly syndrome,Point prevalence,N/A
Biological anomaly,280183,Methylmalonic aciduria due to transcobalamin receptor defect,Cases/families,N/A
Biological anomaly,280183,Methylmalonic aciduria due to transcobalamin receptor defect,Point prevalence,N/A
Clinical subtype,280282,Pelizaeus-Merzbacher-like disease due to GJC2 mutation,Point prevalence,N/A
Disease,280270,Pelizaeus-Merzbacher-like disease,Point prevalence,N/A
Disease,183675,Recurrent infections associated with rare immunoglobulin isotypes deficiency,Point prevalence,N/A
Malformation syndrome,2177,Hydranencephaly,Prevalence at birth,N/A
Malformation syndrome,2177,Hydranencephaly,Point prevalence,N/A
Malformation syndrome,2177,Hydranencephaly,Prevalence at birth,N/A
Malformation syndrome,2177,Hydranencephaly,Prevalence at birth,N/A
Malformation syndrome,3258,Cenani-Lenz syndrome,Cases/families,N/A
Malformation syndrome,3258,Cenani-Lenz syndrome,Point prevalence,N/A
Disease,276575,Autosomal dominant hyperinsulinism due to SUR1 deficiency,Point prevalence,N/A
Malformation syndrome,3262,Dobrow syndrome,Cases/families,N/A
Malformation syndrome,3262,Dobrow syndrome,Point prevalence,N/A
Disease,276598,Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency,Point prevalence,N/A
Disease,276608,Non-insulinoma pancreatogenous hypoglycemia syndrome,Point prevalence,N/A
Morphological anomaly,3265,Isolated humero-radial synostosis,Cases/families,N/A
Morphological anomaly,3265,Isolated humero-radial synostosis,Point prevalence,N/A
Disease,276603,Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency,Point prevalence,N/A
Morphological anomaly,3266,Isolated humero-radio-ulnar synostosis,Cases/families,N/A
Morphological anomaly,3266,Isolated humero-radio-ulnar synostosis,Point prevalence,N/A
Disease,276621,Sporadic pheochromocytoma/secreting paraganglioma,Point prevalence,N/A
Disease,183713,OBSOLETE:Bacterial susceptibility due to TLR signaling pathway deficiency,Cases/families,N/A
Disease,183713,OBSOLETE:Bacterial susceptibility due to TLR signaling pathway deficiency,Point prevalence,N/A
Disease,2380,Legg-Calvé-Perthes disease,Point prevalence,N/A
Malformation syndrome,276630,Symptomatic form of Coffin-Lowry syndrome in female carriers,Point prevalence,N/A
Malformation syndrome,3270,Radioulnar synostosis-developmental delay-hypotonia syndrome,Cases/families,N/A
Malformation syndrome,3270,Radioulnar synostosis-developmental delay-hypotonia syndrome,Point prevalence,N/A
Malformation syndrome,3275,Spondylocarpotarsal synostosis,Cases/families,N/A
Malformation syndrome,3275,Spondylocarpotarsal synostosis,Point prevalence,N/A
Disease,425,Apolipoprotein A-I deficiency,Cases/families,N/A
Disease,425,Apolipoprotein A-I deficiency,Point prevalence,N/A
Disease,425,Apolipoprotein A-I deficiency,Point prevalence,N/A
Malformation syndrome,3291,Teebi-Shaltout syndrome,Cases/families,N/A
Malformation syndrome,3291,Teebi-Shaltout syndrome,Point prevalence,N/A
Malformation syndrome,3293,Telecanthus-hypertelorism-strabismus-pes cavus syndrome,Cases/families,N/A
Malformation syndrome,3293,Telecanthus-hypertelorism-strabismus-pes cavus syndrome,Point prevalence,N/A
Malformation syndrome,3292,Tel Hashomer camptodactyly syndrome,Point prevalence,N/A
Clinical syndrome,279882,Spasmus nutans,Point prevalence,N/A
Malformation syndrome,3294,Extensor tendons of finger anomalies,Cases/families,N/A
Malformation syndrome,3294,Extensor tendons of finger anomalies,Point prevalence,N/A
Clinical subtype,279888,Acute endophthalmitis,Point prevalence,N/A
Clinical subtype,279891,Chronic endophthalmitis,Point prevalence,N/A
Disease,897,Waardenburg-Shah syndrome,Cases/families,N/A
Disease,897,Waardenburg-Shah syndrome,Point prevalence,N/A
Malformation syndrome,3301,Tetraamelia-multiple malformations syndrome,Point prevalence,N/A
Malformation syndrome,3301,Tetraamelia-multiple malformations syndrome,Cases/families,N/A
Disease,279897,Primary oculocerebral lymphoma,Point prevalence,N/A
Disease,279904,Primary intraocular lymphoma,Point prevalence,N/A
Malformation syndrome,3027,Caudal regression syndrome,Point prevalence,N/A
Malformation syndrome,3027,Caudal regression syndrome,Prevalence at birth,N/A
Malformation syndrome,3027,Caudal regression syndrome,Prevalence at birth,N/A
Malformation syndrome,3312,Thalidomide embryopathy,Point prevalence,N/A
Disease,279914,Intermediate uveitis,Point prevalence,N/A
Disease,643,Giant axonal neuropathy,Cases/families,N/A
Disease,643,Giant axonal neuropathy,Point prevalence,N/A
Disease,276193,Spinocerebellar ataxia type 35,Cases/families,N/A
Disease,276193,Spinocerebellar ataxia type 35,Point prevalence,N/A
Disease,276183,Spinocerebellar ataxia type 32,Cases/families,N/A
Disease,276183,Spinocerebellar ataxia type 32,Point prevalence,N/A
Disease,2828,Young-onset Parkinson disease,Point prevalence,N/A
Disease,2828,Young-onset Parkinson disease,Point prevalence,N/A
Clinical subtype,276238,Machado-Joseph disease type 1,Point prevalence,N/A
Disease,276234,Non-syndromic male infertility due to sperm motility disorder,Point prevalence,N/A
Malformation syndrome,638,Neurofibromatosis-Noonan syndrome,Point prevalence,N/A
Clinical group,3231,Deafness-onychodystrophy syndrome,Cases/families,N/A
Clinical group,3231,Deafness-onychodystrophy syndrome,Point prevalence,N/A
Disease,526,Liddle syndrome,Cases/families,N/A
Disease,526,Liddle syndrome,Point prevalence,N/A
Clinical subtype,276241,Machado-Joseph disease type 2,Point prevalence,N/A
Disease,427,Familial hypoaldosteronism,Point prevalence,N/A
Disease,215,Congenital stationary night blindness,Point prevalence,N/A
Malformation syndrome,3232,Deafness-ear malformation-facial palsy syndrome,Cases/families,N/A
Malformation syndrome,3232,Deafness-ear malformation-facial palsy syndrome,Point prevalence,N/A
Malformation syndrome,3233,Cochleosaccular degeneration-cataract syndrome,Cases/families,N/A
Malformation syndrome,3233,Cochleosaccular degeneration-cataract syndrome,Point prevalence,N/A
Disease,180,Choroideremia,Point prevalence,N/A
Malformation syndrome,276280,Hemihyperplasia-multiple lipomatosis syndrome,Cases/families,N/A
Malformation syndrome,276280,Hemihyperplasia-multiple lipomatosis syndrome,Point prevalence,N/A
Disease,276399,Familial multinodular goiter,Point prevalence,N/A
Malformation syndrome,3239,Deafness-vitiligo-achalasia syndrome,Cases/families,N/A
Malformation syndrome,3239,Deafness-vitiligo-achalasia syndrome,Point prevalence,N/A
Category,183518,Hereditary ataxia,Point prevalence,N/A
Malformation syndrome,3237,Multiple synostoses syndrome,Cases/families,N/A
Malformation syndrome,3237,Multiple synostoses syndrome,Point prevalence,N/A
Disease,403,Familial hyperaldosteronism type I,Point prevalence,N/A
Malformation syndrome,276413,10q22.3q23.3 microdeletion syndrome,Point prevalence,N/A
Disease,653,Multiple endocrine neoplasia type 2,Point prevalence,N/A
Disease,653,Multiple endocrine neoplasia type 2,Point prevalence,N/A
Disease,276405,Hyperbiliverdinemia,Cases/families,N/A
Disease,276405,Hyperbiliverdinemia,Point prevalence,N/A
Disease,157,Carnitine palmitoyltransferase II deficiency,Cases/families,N/A
Disease,157,Carnitine palmitoyltransferase II deficiency,Point prevalence,N/A
Disease,157,Carnitine palmitoyltransferase II deficiency,Prevalence at birth,N/A
Disease,157,Carnitine palmitoyltransferase II deficiency,Point prevalence,N/A
Malformation syndrome,847,X-linked alpha-thalassemia-intellectual disability syndrome,Cases/families,N/A
Malformation syndrome,847,X-linked alpha-thalassemia-intellectual disability syndrome,Point prevalence,N/A
Malformation syndrome,3255,Filippi syndrome,Cases/families,N/A
Malformation syndrome,3255,Filippi syndrome,Point prevalence,N/A
Category,183435,Inherited ichthyosis,Point prevalence,N/A
Malformation syndrome,2268,ICF syndrome,Cases/families,N/A
Malformation syndrome,2268,ICF syndrome,Point prevalence,N/A
Malformation syndrome,3253,Cleft lip/palate-ectodermal dysplasia syndrome,Point prevalence,N/A
Malformation syndrome,3253,Cleft lip/palate-ectodermal dysplasia syndrome,Cases/families,N/A
Malformation syndrome,392,Holt-Oram syndrome,Prevalence at birth,N/A
Malformation syndrome,392,Holt-Oram syndrome,Prevalence at birth,N/A
Malformation syndrome,392,Holt-Oram syndrome,Point prevalence,N/A
Disease,3325,Heparin-induced thrombocytopenia,Point prevalence,N/A
Malformation syndrome,243,"46,XX gonadal dysgenesis",Point prevalence,N/A
Malformation syndrome,243,"46,XX gonadal dysgenesis",Prevalence at birth,N/A
Category,183422,Polymalformative genetic syndrome with increased risk of developing cancer,Point prevalence,N/A
Disease,136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Point prevalence,N/A
Disease,136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Point prevalence,N/A
Disease,136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Point prevalence,N/A
Category,182114,Rare urogenital tumor,Annual incidence,N/A
Category,182114,Rare urogenital tumor,Annual incidence,N/A
Morphological anomaly,48,Congenital bilateral absence of vas deferens,Point prevalence,N/A
Disease,424,Familial hyperthyroidism due to mutations in TSH receptor,Point prevalence,N/A
Disease,424,Familial hyperthyroidism due to mutations in TSH receptor,Cases/families,N/A
Disease,325,Congenital factor II deficiency,Point prevalence,N/A
Clinical subtype,343,Hyperimmunoglobulinemia D with periodic fever,Cases/families,N/A
Clinical subtype,343,Hyperimmunoglobulinemia D with periodic fever,Point prevalence,N/A
Disease,572,Immunodeficiency by defective expression of MHC class II,Cases/families,N/A
Disease,572,Immunodeficiency by defective expression of MHC class II,Point prevalence,N/A
Disease,1930,Herpes simplex virus encephalitis,Annual incidence,N/A
Disease,1930,Herpes simplex virus encephalitis,Annual incidence,N/A
Disease,1930,Herpes simplex virus encephalitis,Annual incidence,N/A
Disease,1930,Herpes simplex virus encephalitis,Point prevalence,N/A
Disease,158,Systemic primary carnitine deficiency,Prevalence at birth,N/A
Disease,158,Systemic primary carnitine deficiency,Prevalence at birth,N/A
Disease,158,Systemic primary carnitine deficiency,Prevalence at birth,N/A
Disease,158,Systemic primary carnitine deficiency,Prevalence at birth,N/A
Disease,158,Systemic primary carnitine deficiency,Point prevalence,N/A
Disease,158,Systemic primary carnitine deficiency,Annual incidence,N/A
Disease,158,Systemic primary carnitine deficiency,Point prevalence,N/A
Disease,2056,Essential fructosuria,Point prevalence,N/A
Clinical subtype,206436,Infantile Krabbe disease,Annual incidence,N/A
Clinical subtype,206436,Infantile Krabbe disease,Point prevalence,N/A
Disease,1344,Atrial standstill,Point prevalence,N/A
Clinical group,206428,Hypoxanthine-guanine phosphoribosyltransferase deficiency,Point prevalence,N/A
Malformation syndrome,3103,Roberts syndrome,Cases/families,N/A
Malformation syndrome,3103,Roberts syndrome,Point prevalence,N/A
Disease,832,Succinyl-CoA:3-oxoacid CoA transferase deficiency,Cases/families,N/A
Disease,832,Succinyl-CoA:3-oxoacid CoA transferase deficiency,Point prevalence,N/A
Disease,6,3-methylcrotonyl-CoA carboxylase deficiency,Prevalence at birth,N/A
Disease,6,3-methylcrotonyl-CoA carboxylase deficiency,Prevalence at birth,N/A
Disease,6,3-methylcrotonyl-CoA carboxylase deficiency,Prevalence at birth,N/A
Disease,6,3-methylcrotonyl-CoA carboxylase deficiency,Prevalence at birth,N/A
Disease,6,3-methylcrotonyl-CoA carboxylase deficiency,Point prevalence,N/A
Disease,6,3-methylcrotonyl-CoA carboxylase deficiency,Point prevalence,N/A
Malformation syndrome,888,Van der Woude syndrome,Point prevalence,N/A
Malformation syndrome,888,Van der Woude syndrome,Prevalence at birth,N/A
Malformation syndrome,888,Van der Woude syndrome,Point prevalence,N/A
Malformation syndrome,888,Van der Woude syndrome,Point prevalence,N/A
Malformation syndrome,888,Van der Woude syndrome,Prevalence at birth,N/A
Malformation syndrome,888,Van der Woude syndrome,Point prevalence,N/A
Malformation syndrome,888,Van der Woude syndrome,Prevalence at birth,N/A
Malformation syndrome,888,Van der Woude syndrome,Point prevalence,N/A
Malformation syndrome,888,Van der Woude syndrome,Point prevalence,N/A
Malformation syndrome,888,Van der Woude syndrome,Prevalence at birth,N/A
Malformation syndrome,2831,"Rhizomelic dysplasia, Patterson-Lowry type",Cases/families,N/A
Malformation syndrome,2831,"Rhizomelic dysplasia, Patterson-Lowry type",Point prevalence,N/A
Malformation syndrome,1129,Arachnodactyly-abnormal ossification-intellectual disability syndrome,Cases/families,N/A
Malformation syndrome,1129,Arachnodactyly-abnormal ossification-intellectual disability syndrome,Point prevalence,N/A
Disease,548,Leprosy,Point prevalence,N/A
Disease,548,Leprosy,Annual incidence,N/A
Malformation syndrome,1383,Cataract-deafness-hypogonadism syndrome,Cases/families,N/A
Malformation syndrome,1383,Cataract-deafness-hypogonadism syndrome,Point prevalence,N/A
Disease,206538,Malignant non-dysgerminomatous germ cell tumor of ovary,Point prevalence,N/A
Disease,206554,Fukutin-related limb-girdle muscular dystrophy R13,Cases/families,N/A
Disease,206554,Fukutin-related limb-girdle muscular dystrophy R13,Point prevalence,N/A
Malformation syndrome,1524,Craniomicromelic syndrome,Point prevalence,N/A
Disease,206549,Anoctamin-5-related limb-girdle muscular dystrophy R12,Point prevalence,N/A
Disease,569,Familial or sporadic hemiplegic migraine,Point prevalence,N/A
Disease,569,Familial or sporadic hemiplegic migraine,Point prevalence,N/A
Disease,206569,Immune-mediated necrotizing myopathy,Cases/families,N/A
Disease,206569,Immune-mediated necrotizing myopathy,Point prevalence,N/A
Disease,206580,Autosomal recessive lower motor neuron disease with childhood onset,Cases/families,N/A
Disease,206580,Autosomal recessive lower motor neuron disease with childhood onset,Point prevalence,N/A
Malformation syndrome,3439,Von Voss-Cherstvoy syndrome,Cases/families,N/A
Malformation syndrome,3439,Von Voss-Cherstvoy syndrome,Point prevalence,N/A
Disease,1217,Spinal atrophy-ophthalmoplegia-pyramidal syndrome,Cases/families,N/A
Disease,1217,Spinal atrophy-ophthalmoplegia-pyramidal syndrome,Point prevalence,N/A
Malformation syndrome,2680,Hypomyelination neuropathy-arthrogryposis syndrome,Cases/families,N/A
Malformation syndrome,2680,Hypomyelination neuropathy-arthrogryposis syndrome,Point prevalence,N/A
Morphological anomaly,1681,Diprosopus,Cases/families,N/A
Morphological anomaly,1681,Diprosopus,Point prevalence,N/A
Morphological anomaly,1681,Diprosopus,Prevalence at birth,N/A
Malformation syndrome,1655,Müllerian derivatives-lymphangiectasia-polydactyly syndrome,Cases/families,N/A
Malformation syndrome,1655,Müllerian derivatives-lymphangiectasia-polydactyly syndrome,Point prevalence,N/A
Disease,633,Laron syndrome,Point prevalence,N/A
Disease,633,Laron syndrome,Point prevalence,N/A
Clinical subtype,478,Kallmann syndrome,Point prevalence,N/A
Clinical subtype,478,Kallmann syndrome,Annual incidence,N/A
Clinical subtype,478,Kallmann syndrome,Annual incidence,N/A
Clinical subtype,478,Kallmann syndrome,Annual incidence,N/A
Malformation syndrome,240,Léri-Weill dyschondrosteosis,Point prevalence,N/A
Malformation syndrome,2311,Autosomal recessive spondylocostal dysostosis,Point prevalence,N/A
Disease,358,Gitelman syndrome,Point prevalence,N/A
Malformation syndrome,242,"46,XY complete gonadal dysgenesis",Point prevalence,N/A
Malformation syndrome,242,"46,XY complete gonadal dysgenesis",Prevalence at birth,N/A
Malformation syndrome,2052,Fraser syndrome,Prevalence at birth,N/A
Malformation syndrome,2052,Fraser syndrome,Point prevalence,N/A
Malformation syndrome,2052,Fraser syndrome,Prevalence at birth,N/A
Malformation syndrome,1354,Heart defects-limb shortening syndrome,Cases/families,N/A
Malformation syndrome,1354,Heart defects-limb shortening syndrome,Point prevalence,N/A
Disease,28,Vitamin B12-responsive methylmalonic acidemia,Cases/families,N/A
Disease,28,Vitamin B12-responsive methylmalonic acidemia,Point prevalence,N/A
Clinical group,557,Non-syndromic anorectal malformation,Prevalence at birth,N/A
Clinical group,557,Non-syndromic anorectal malformation,Prevalence at birth,N/A
Clinical group,557,Non-syndromic anorectal malformation,Prevalence at birth,N/A
Clinical group,557,Non-syndromic anorectal malformation,Prevalence at birth,N/A
